Source,Target,Type,Id,Label,timeset,Weight,e_correlation,e_relation
n12,n4531,Undirected,360,,,0.455352,0.455352,Pos
n12,n4596,Undirected,361,,,0.460053,0.460053,Pos
n12,n4685,Undirected,362,,,0.487429,0.487429,Pos
n12,n4833,Undirected,363,,,0.550964,0.550964,Pos
n12,n4844,Undirected,364,,,0.492462,0.492462,Pos
n12,n4928,Undirected,365,,,0.441116,0.441116,Pos
n13,n161,Undirected,366,,,0.536416,0.536416,Pos
n13,n201,Undirected,367,,,0.533223,0.533223,Pos
n13,n844,Undirected,368,,,0.458589,0.458589,Pos
n13,n912,Undirected,369,,,0.501155,0.501155,Pos
n13,n1336,Undirected,370,,,0.446121,0.446121,Pos
n13,n1405,Undirected,371,,,0.492103,0.492103,Pos
n13,n1565,Undirected,372,,,0.617731,0.617731,Pos
n13,n1847,Undirected,373,,,0.534362,0.534362,Pos
n13,n2106,Undirected,374,,,0.555431,0.555431,Pos
n13,n2292,Undirected,375,,,0.491315,0.491315,Pos
n13,n2313,Undirected,376,,,0.461895,0.461895,Pos
n13,n3174,Undirected,377,,,0.497948,0.497948,Pos
n13,n3377,Undirected,378,,,0.457806,0.457806,Pos
n13,n3861,Undirected,379,,,0.456666,0.456666,Pos
n13,n4015,Undirected,380,,,0.518964,0.518964,Pos
n13,n4405,Undirected,381,,,0.447268,0.447268,Pos
n13,n4430,Undirected,382,,,0.450437,0.450437,Pos
n14,n82,Undirected,383,,,0.449713,0.449713,Pos
n14,n638,Undirected,384,,,0.50111,0.50111,Pos
n15,n3416,Undirected,385,,,0.440261,0.440261,Pos
n16,n87,Undirected,386,,,0.461897,0.461897,Pos
n16,n1117,Undirected,387,,,0.46807,0.46807,Pos
n16,n1159,Undirected,388,,,0.486943,0.486943,Pos
n16,n1356,Undirected,389,,,0.447703,0.447703,Pos
n16,n1458,Undirected,390,,,0.514402,0.514402,Pos
n16,n2178,Undirected,391,,,0.532728,0.532728,Pos
n16,n2306,Undirected,392,,,0.505672,0.505672,Pos
n16,n3022,Undirected,393,,,0.450254,0.450254,Pos
n16,n3199,Undirected,394,,,0.52124,0.52124,Pos
n16,n3254,Undirected,395,,,0.449694,0.449694,Pos
n16,n3411,Undirected,396,,,0.443421,0.443421,Pos
n16,n4085,Undirected,397,,,0.521108,0.521108,Pos
n16,n4602,Undirected,398,,,0.521144,0.521144,Pos
n16,n4720,Undirected,399,,,0.459535,0.459535,Pos
n16,n4909,Undirected,400,,,0.521099,0.521099,Pos
n17,n519,Undirected,401,,,0.593244,0.593244,Pos
n17,n760,Undirected,402,,,0.444497,0.444497,Pos
n17,n997,Undirected,403,,,0.442136,0.442136,Pos
n17,n1882,Undirected,404,,,0.449472,0.449472,Pos
n17,n2252,Undirected,405,,,0.520204,0.520204,Pos
n17,n2540,Undirected,406,,,0.453817,0.453817,Pos
n17,n3016,Undirected,407,,,0.489481,0.489481,Pos
n17,n3045,Undirected,408,,,0.576909,0.576909,Pos
n17,n3516,Undirected,409,,,0.474767,0.474767,Pos
n17,n3956,Undirected,410,,,0.457205,0.457205,Pos
n17,n4247,Undirected,411,,,0.533138,0.533138,Pos
n17,n4395,Undirected,412,,,0.452865,0.452865,Pos
n17,n4651,Undirected,413,,,0.462736,0.462736,Pos
n17,n4652,Undirected,414,,,0.483491,0.483491,Pos
n18,n2497,Undirected,415,,,0.472315,0.472315,Pos
n19,n1265,Undirected,416,,,0.555741,0.555741,Pos
n19,n2495,Undirected,417,,,0.553068,0.553068,Pos
n19,n2730,Undirected,418,,,0.526994,0.526994,Pos
n19,n2833,Undirected,419,,,0.56056,0.56056,Pos
n19,n3449,Undirected,420,,,0.504645,0.504645,Pos
n19,n3550,Undirected,421,,,0.457789,0.457789,Pos
n20,n927,Undirected,422,,,0.510002,0.510002,Pos
n20,n1235,Undirected,423,,,0.443642,0.443642,Pos
n20,n2222,Undirected,424,,,0.444772,0.444772,Pos
n20,n2340,Undirected,425,,,0.456972,0.456972,Pos
n20,n3302,Undirected,426,,,0.495214,0.495214,Pos
n20,n3359,Undirected,427,,,0.46139,0.46139,Pos
n20,n3416,Undirected,428,,,0.443858,0.443858,Pos
n20,n3947,Undirected,429,,,0.463611,0.463611,Pos
n20,n4023,Undirected,430,,,0.551293,0.551293,Pos
n20,n4059,Undirected,431,,,0.741636,0.741636,Pos
n20,n4885,Undirected,432,,,0.510583,0.510583,Pos
n21,n4586,Undirected,433,,,0.566208,0.566208,Pos
n21,n4987,Undirected,434,,,0.459678,0.459678,Pos
n22,n4739,Undirected,435,,,0.518442,0.518442,Pos
n23,n113,Undirected,436,,,0.534916,0.534916,Pos
n23,n478,Undirected,437,,,0.480583,0.480583,Pos
n23,n783,Undirected,438,,,0.654963,0.654963,Pos
n23,n826,Undirected,439,,,0.521826,0.521826,Pos
n23,n1057,Undirected,440,,,0.441709,0.441709,Pos
n23,n1128,Undirected,441,,,0.654793,0.654793,Pos
n23,n1396,Undirected,442,,,0.551016,0.551016,Pos
n23,n1482,Undirected,443,,,0.648827,0.648827,Pos
n23,n1708,Undirected,444,,,0.447948,0.447948,Pos
n23,n1786,Undirected,445,,,0.462444,0.462444,Pos
n23,n1848,Undirected,446,,,0.481441,0.481441,Pos
n23,n1998,Undirected,447,,,0.505633,0.505633,Pos
n23,n2038,Undirected,448,,,0.562416,0.562416,Pos
n23,n2256,Undirected,449,,,0.612967,0.612967,Pos
n23,n2260,Undirected,450,,,0.455724,0.455724,Pos
n23,n2595,Undirected,451,,,0.614778,0.614778,Pos
n23,n2641,Undirected,452,,,0.510795,0.510795,Pos
n23,n2915,Undirected,453,,,0.553078,0.553078,Pos
n23,n3088,Undirected,454,,,0.510141,0.510141,Pos
n23,n3114,Undirected,455,,,0.544351,0.544351,Pos
n23,n3445,Undirected,456,,,0.583923,0.583923,Pos
n23,n3475,Undirected,457,,,0.478033,0.478033,Pos
